Hora,Altura del Oleaje (m),Dirección del Oleaje (°),Periodo del Oleaje (s)
2024-10-11T00:00,1.58,240,11.2
2024-10-11T01:00,1.58,240,11.3
2024-10-11T02:00,1.6,240,11.45
2024-10-11T03:00,1.6,240,11.6
2024-10-11T04:00,1.6,240,11.65
2024-10-11T05:00,1.62,240,11.7
2024-10-11T06:00,1.62,240,11.75
2024-10-11T07:00,1.62,240,11.8
2024-10-11T08:00,1.62,240,11.85
2024-10-11T09:00,1.62,240,11.9
2024-10-11T10:00,1.62,240,12.0
2024-10-11T11:00,1.64,240,12.05
2024-10-11T12:00,1.64,240,12.15
2024-10-11T13:00,1.64,240,12.2
2024-10-11T14:00,1.66,240,12.25
2024-10-11T15:00,1.66,240,12.25
2024-10-11T16:00,1.68,240,12.15
2024-10-11T17:00,1.72,239,12.0
2024-10-11T18:00,1.74,239,11.8
2024-10-11T19:00,1.76,239,11.55
2024-10-11T20:00,1.78,238,11.3
2024-10-11T21:00,1.8,238,11.1
2024-10-11T22:00,1.8,238,10.95
2024-10-11T23:00,1.82,237,10.8
2024-10-12T00:00,1.82,237,10.75
2024-10-12T01:00,1.8,237,10.75
2024-10-12T02:00,1.78,238,10.8
2024-10-12T03:00,1.76,238,10.85
2024-10-12T04:00,1.74,239,10.85
2024-10-12T05:00,1.72,239,10.85
2024-10-12T06:00,1.7,240,10.85
2024-10-12T07:00,1.68,240,10.8
2024-10-12T08:00,1.66,241,10.75
2024-10-12T09:00,1.64,241,10.7
2024-10-12T10:00,1.62,241,10.65
2024-10-12T11:00,1.62,241,10.65
2024-10-12T12:00,1.6,241,10.6
2024-10-12T13:00,1.6,241,10.5
2024-10-12T14:00,1.58,241,10.4
2024-10-12T15:00,1.58,241,10.2
2024-10-12T16:00,1.62,241,9.95
2024-10-12T17:00,1.64,240,9.65
2024-10-12T18:00,1.68,240,9.35
2024-10-12T19:00,1.7,240,9.1
2024-10-12T20:00,1.74,239,8.85
2024-10-12T21:00,1.76,239,8.7
2024-10-12T22:00,1.76,239,8.65
2024-10-12T23:00,1.76,239,8.65
2024-10-13T00:00,1.76,239,8.65
2024-10-13T01:00,1.74,239,8.7
2024-10-13T02:00,1.7,240,8.75
2024-10-13T03:00,1.68,240,8.8
2024-10-13T04:00,1.66,240,8.85
2024-10-13T05:00,1.66,239,8.9
2024-10-13T06:00,1.64,239,8.95
2024-10-13T07:00,1.62,239,9.0
2024-10-13T08:00,1.6,239,9.1
2024-10-13T09:00,1.58,239,9.15
2024-10-13T10:00,1.56,239,9.2
2024-10-13T11:00,1.54,239,9.3
2024-10-13T12:00,1.52,239,9.35
2024-10-13T13:00,1.5,239,9.4
2024-10-13T14:00,1.48,240,9.5
